,Data,,,,,,,,,,,,,,,,,,,,,
State,Average of % smokers,Average of # Full-service restaurants,Average of Fast-food expenditures per capita,Average of % Households no car & <1 mile to store,Average of % eating few fruits and vegetables,Average of Lbs per capita meat&poultry,Average of Adult obesity rate,"Average of Rec & fitness facilities/1,000 pop ",Average of Lbs per capita solid fats,Average of Median household income,Average of % who do not exercise,"Average of Chip & pretzel sales tax, vending",Average of Lbs per capita pkg sweetsnacks,Average of Gals per capita soft drinks,"Average of Fast-food restaurants/1,000 pop",Average of Lbs per capita prepared meals,Average of Relative price of sweetened drinks,Average of Poverty rate,Average of Price ratio fruit/pkg sweet snacks,Average of Price ratio fruit/pkg savory snacks,Average of Price ratio green-leafy/starchy veg,Average of % Students reduce-price-lunch eligible
South Carolina,25.54,75.63043478,473,6.295,53.49782609,79.04347826,31.54565217,0.062913043,16.91304348,40056.97826,26.89565217,0,100.5217391,71.2173913,0.601,275.173913,0.952608696,19.09782609,0.352608696,0.392608696,1.513478261,7.832608696
South Dakota,32.48727273,11.0625,407,4.57969697,22.653125,61,29.08333333,0.118424242,21,40781.66667,23.72575758,0,122,64,0.618148148,298,0.97,15.79545455,0.31,0.35,1.53,9.275
Tennessee,26.91115789,43.07446809,513,4.542315789,42.31263158,72,30.35789474,0.065694737,18,38997.21053,26.76105263,0,114,80,0.561542553,294,0.994,17.53578947,0.34,0.38,1.602,8.847368421
Texas,24.25968504,59.07317073,541,3.69476378,42.00118577,77.03149606,27.2019685,0.070629921,16.15748031,42170.74409,24.81811024,0.0625,103.507874,69.29133858,0.668016878,271.3622047,1.000669291,17.04094488,0.311456693,0.366968504,1.806811024,9.66284585
Utah,21.96034483,45.89655172,468,2.453448276,26.00689655,60,23.72068966,0.069862069,20,51213.86207,22.23793103,0,135,57,0.893857143,324,1.06,11.06896552,0.31,0.36,1.64,12.54482759
Vermont,22.09571429,50.78571429,321,3.901428571,21.80714286,56.85714286,23.46428571,0.149428571,23.5,49454.21429,21.92857143,0,117.7857143,59,0.560785714,298.9285714,0.916428571,10.85,0.375714286,0.444285714,1.809285714,7.4
Virginia,19.31992366,43.76691729,482,4.681679389,31.04402985,77.92537313,28.01492537,0.122738806,16.34328358,50568.77612,25.20522388,0.025,106.6865672,65.05970149,0.76525,293.1940299,0.98,13.38731343,0.364552239,0.406268657,1.532835821,8.167910448
Washington,18.60307692,135.974359,469,2.526666667,34.12820513,67.07692308,27.32820513,0.107384615,18.07692308,48219.12821,23.47692308,0.065,115.4615385,55.46153846,0.662405405,307,1.116153846,14.2,0.304615385,0.344615385,1.402307692,10.03589744
West Virginia,32.20927273,20.43636364,433,6.782909091,41.41090909,75.87272727,31.58727273,0.067963636,18.18181818,35928,27.38,0.02,106.5818182,67.83636364,0.572622642,284.4,0.940363636,18.36727273,0.352545455,0.401090909,1.504181818,11.31454545
Wisconsin,17.11152778,67.88732394,391,3.057777778,22.65972222,70.94444444,27.70694444,0.124944444,21.94444444,49031.77778,23.02777778,0,120.4583333,69.70833333,0.496887324,311.3194444,0.962222222,10.67916667,0.324444444,0.367083333,1.620833333,9.481944444
Wyoming,17.22217391,22.82608696,456,1.778695652,19.47391304,66.60869565,24.4,0.183521739,18.17391304,53695.13043,22.27391304,0.04,113.9565217,58.04347826,0.725304348,289.7391304,1.093043478,9.7,0.335217391,0.386956522,1.520869565,9.847826087
Grand Total,22.8374259,70.88856589,472.1568,3.989049613,35.98944836,70.37986491,28.285546,0.090387261,18.65069154,44171.98184,24.6167781,0.024754059,114.1112898,66.81215825,0.620212738,295.8944998,0.990665809,15.23966231,0.330923126,0.378253458,1.582119653,9.461745828
